,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
6086,6,35,5,62,57,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9697950529063802,0.9693530337183929
7767,17,43,baseline,1,57,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9700745582309618,0.9696321513295113
1758,34,17,5,2,14,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9702140669227606,0.969728127530525
7676,17,62,31,2,baseline,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9700782283957552,0.9695114462620404
3572,37,17,5,43,1,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9702841819206919,0.9699105845168756
3267,37,28,35,5,27,0.9080329557157569,0.8160929154374543,4492,4325,479,414,0.9697681100781282,0.9692128892193232
7042,28,5,31,2,1,0.9080329557157569,0.8160791921615487,4488,4329,475,418,0.9702675919272328,0.9697579050629197
8425,3,31,baseline,57,14,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9698263447738381,0.9691688671839935
6177,6,35,62,1,57,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9698820336905004,0.9694631956094846
8486,62,31,43,57,14,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9700093650725223,0.9693423279730737
5991,6,17,62,27,1,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9700610868168361,0.9697182042083722
6175,6,35,62,baseline,57,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9697072659588948,0.9691990051916761
6208,6,35,31,2,57,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.969834236688885,0.9691458896901824
5993,6,17,62,27,14,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9699911627523334,0.969555676804004
7285,17,35,5,3,2,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.969860055131391,0.9692175455458683
8416,3,31,43,57,14,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9699175260933868,0.9691538499676555
3719,37,35,5,62,1,0.9080329557157569,0.8160703559163471,4485,4332,472,421,0.970030495038616,0.9696266446246486
3721,37,35,5,62,14,0.9080329557157569,0.816067687826542,4484,4333,471,422,0.9699386348446548,0.9694554317600216
3724,37,35,5,27,2,0.9080329557157569,0.8160761080750409,4487,4330,474,419,0.9697288626511471,0.9690415728109285
7250,28,31,43,baseline,1,0.9080329557157569,0.816062767583562,4482,4335,469,424,0.970265725022598,0.9697313817000137
8410,3,31,43,2,14,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9700223061160136,0.9692013632252512
1491,34,28,35,2,1,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.970124540359593,0.9696084867757732
399,34,37,5,3,2,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9699949389912537,0.969349584758425
3747,37,35,5,1,57,0.9080329557157569,0.816067687826542,4484,4333,471,422,0.9698812699567863,0.9694096857429857
5896,6,17,35,2,baseline,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9698903923317063,0.9692792295680221
8393,3,27,43,baseline,14,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9697088995004502,0.9690374784314317
7279,28,2,1,57,14,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.970058244030233,0.9695481093366425
8389,3,27,43,2,57,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9695735276996035,0.968703565023827
3300,37,28,35,31,2,0.9080329557157569,0.8160892765598902,4491,4326,478,415,0.9699379983998929,0.9691978189604578
1689,34,17,35,62,1,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9702367031414574,0.9698698513390773
8382,3,27,31,baseline,57,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9696182697663619,0.9688787370492309
3301,37,28,35,31,baseline,0.9080329557157569,0.8160966930371972,4493,4324,480,413,0.9699280274319573,0.9693133381743086
3257,37,28,17,2,57,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9699488179608446,0.9693462997452813
7099,28,3,27,31,43,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9699002360106895,0.9690698262293949
1663,34,28,baseline,57,14,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9699037576717052,0.9694247269988042
7098,28,3,62,57,14,0.9080329557157569,0.8160443000261504,4469,4348,456,437,0.9697819845739368,0.969155177938815
5984,6,17,3,1,57,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9699817857995087,0.9695483758400973
6186,6,35,27,43,2,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.969773350140001,0.9690307436244535
5963,6,17,3,27,1,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9699420716463689,0.9694784824166016
7293,17,35,5,62,2,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9699844588675085,0.9694907342629742
7074,28,3,62,27,baseline,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9696636907075331,0.9690264012002348
7072,28,3,62,27,43,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9697416764056858,0.9689600107789526
3610,37,17,3,43,14,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9700567377776299,0.9694792094122026
110,34,37,6,28,27,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9699244633412909,0.9694253619968811
5955,6,17,3,62,baseline,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9699588313584311,0.9694650838347956
7710,17,27,31,43,14,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9701241372779105,0.9695480336124992
878,34,47,5,31,57,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9702041171696504,0.9697209477855748
3641,37,17,62,2,57,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9699376589626868,0.969384570211907
5951,6,17,3,62,27,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9698408769292337,0.9693145926468169
1645,34,28,43,2,baseline,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9700777192399457,0.9694504854214885
1625,34,28,27,baseline,57,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9697400216493051,0.9692074774508331
3643,37,17,62,baseline,1,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.970173440532129,0.9698373621645705
8438,3,2,baseline,1,14,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9699577281875106,0.9693385629989762
3288,37,28,35,62,baseline,0.9080329557157569,0.8160824149315969,4489,4328,476,417,0.969808948617014,0.9692975118850891
5977,6,17,3,2,baseline,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.969900426944118,0.9692088876773608
3653,37,17,27,31,57,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.969906600458308,0.9693030389732312
7714,17,27,31,2,14,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9700033400621102,0.969376809936191
3659,37,17,27,43,14,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9700148384974744,0.9694854802044932
433,34,37,5,2,14,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.9701004827475948,0.9695339099430967
1507,34,28,5,3,57,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9698942534299281,0.969375215459314
7719,17,27,31,1,14,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.970203820162095,0.9697471006511291
3667,37,17,27,1,57,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9699270303351636,0.9694677544056928
