,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
178,37,17,35,0.9069001029866117,0.8138082574689365,4481,4325,479,425,0.969703998875784,0.9691270205333138
199,37,35,57,0.9069001029866117,0.8137931950188249,4475,4331,473,431,0.9692871487715937,0.9685738542296856
496,28,62,43,0.9067971163748713,0.8135753537796401,4467,4338,466,439,0.969784254560254,0.9690885729063583
516,28,43,baseline,0.9067971163748713,0.8135806899487498,4471,4334,470,435,0.9696429850379473,0.9690070969846143
775,27,baseline,1,0.9067971163748713,0.8135743651253498,4466,4339,465,440,0.9694781246298013,0.9689655463336142
774,27,2,14,0.9067971163748713,0.8135753537796401,4467,4338,466,439,0.9693284116069875,0.9685674425764319
555,17,3,2,0.9067971163748713,0.8135743651253498,4466,4339,465,440,0.969606092456585,0.9687793073508115
748,62,43,57,0.9067971163748713,0.813572606217269,4455,4350,454,451,0.9694747514725635,0.968726290616932
172,37,28,43,0.9067971163748713,0.8135979951545909,4479,4326,478,427,0.9697440736809555,0.9691440891780191
724,3,2,57,0.9067971163748713,0.8135714285874605,4458,4347,457,448,0.9691955643703627,0.9683008069894863
415,6,3,14,0.9067971163748713,0.8135722279980803,4463,4342,462,443,0.9695419176097646,0.9688211408912719
473,28,35,57,0.9067971163748713,0.8135764805828881,4468,4337,467,438,0.9693381492118438,0.9686683565339594
610,35,3,2,0.9067971163748713,0.8135841870554931,4473,4332,472,433,0.9693291753407016,0.9683730234126202
609,35,3,43,0.9067971163748713,0.813573514614097,4465,4340,464,441,0.9694753879173253,0.9686080924000013
729,3,1,57,0.9067971163748713,0.8135713122454661,4459,4346,458,447,0.9694865044858324,0.9689463377499087
684,5,43,57,0.9066941297631308,0.813365393633332,4460,4344,460,446,0.9695092679934814,0.968963702027932
722,3,2,baseline,0.9066941297631308,0.8133688316842026,4466,4338,466,440,0.969327159932289,0.9683772560490194
214,37,3,43,0.9066941297631308,0.8133724151341002,4469,4335,469,437,0.9695653812066518,0.9687928742846468
479,28,5,43,0.9066941297631308,0.8133961919114243,4480,4324,480,426,0.9697716105243184,0.9692441337161622
699,3,62,2,0.9066941297631308,0.8133738858682369,4470,4334,470,436,0.969469087114183,0.9685947576325463
335,47,27,2,0.9066941297631308,0.8133933394794117,4479,4325,479,427,0.969534959147035,0.9687989287973949
621,35,62,57,0.9066941297631308,0.8133659872800109,4462,4342,462,444,0.9692819087097212,0.9686111856046746
707,3,27,baseline,0.9066941297631308,0.8133671332828761,4464,4340,464,442,0.9691088169493216,0.9682521548790292
